Partida,Autonomo,Industria y Hacienda,Infraestructura,Interior y Gobierno,Seguridad Social,Educacion,Ciudadania,Salud,Medio Ambiente,Tesoreria,Legislativo,AutonomoPoder,Ejecutivo,Judicial
CONGRESO NACIONAL,1,0,0,0,0,0,0,0,0,0,1,0,0,0
CONTRALOR<U+0090>A GENERAL DE LA REP<U+0098>BLICA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MINISTERIO DE AGRICULTURA,0,1,0,0,0,0,0,0,0,0,0,0,1,0
MINISTERIO DE BIENES NACIONALES,0,0,1,0,0,0,0,0,0,0,0,0,1,0
MINISTERIO DE DEFENSA NACIONAL,0,0,0,1,0,0,0,0,0,0,0,0,1,0
MINISTERIO DE DESARROLLO SOCIAL,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"MINISTERIO DE ECONOM<U+0090>A, FOMENTO Y TURISMO",0,1,0,0,0,0,0,0,0,0,0,0,1,0
MINISTERIO DE EDUCACI<U+0094>N,0,0,0,0,0,1,0,0,0,0,0,0,1,0
MINISTERIO DE ENERG<U+0090>A,0,1,0,0,0,0,0,0,0,0,0,0,1,0
MINISTERIO DE HACIENDA,0,1,0,0,0,0,0,0,0,0,0,0,1,0
MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS,0,0,0,0,0,0,1,0,0,0,0,0,1,0
MINISTERIO DE LA MUJER Y LA EQUIDAD DE G<U+0080>NERO,0,0,0,0,0,0,1,0,0,0,0,0,1,0
MINISTERIO DE MINER<U+0090>A,0,1,0,0,0,0,0,0,0,0,0,0,1,0
MINISTERIO DE OBRAS P<U+0098>BLICAS,0,0,1,0,0,0,0,0,0,0,0,0,1,0
MINISTERIO DE RELACIONES EXTERIORES,0,0,0,1,0,0,0,0,0,0,0,0,1,0
MINISTERIO DE SALUD,0,0,0,0,0,0,0,1,0,0,0,0,1,0
MINISTERIO DE TRANSPORTES Y TELECOMUNICACIONES,0,0,1,0,0,0,0,0,0,0,0,0,1,0
MINISTERIO DE VIVIENDA Y URBANISMO,0,0,0,0,1,0,0,0,0,0,0,0,1,0
MINISTERIO DEL DEPORTE,0,0,0,0,0,0,1,0,0,0,0,0,1,0
MINISTERIO DEL INTERIOR Y SEGURIDAD P<U+0098>BLICA,0,0,0,1,0,0,0,0,0,0,0,0,1,0
MINISTERIO DEL MEDIO AMBIENTE,0,0,0,0,0,0,0,0,1,0,0,0,1,0
MINISTERIO DEL TRABAJO Y PREVISI<U+0094>N SOCIAL,0,0,0,0,1,0,0,0,0,0,0,0,1,0
MINISTERIO P<U+0098>BLICO,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MINISTERIO SECRETAR<U+0090>A GENERAL DE GOBIERNO,0,0,0,1,0,0,0,0,0,0,0,0,1,0
MINISTERIO SECRETAR<U+0090>A GENERAL DE LA PRESIDENCIA DE LA REP<U+0098>BLICA,0,0,0,1,0,0,0,0,0,0,0,0,1,0
PODER JUDICIAL,1,0,0,0,0,0,0,0,0,0,0,0,0,1
PRESIDENCIA DE LA REP<U+0098>BLICA,0,0,0,1,0,0,0,0,0,0,0,0,1,0
SERVICIO ELECTORAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TESORO P<U+0098>BLICO,0,0,0,0,0,0,0,0,0,1,0,0,1,0
