Item,Clasif
,Otros
De Fomento                                                                      ,Otros
De Gobiernos Extranjeros                                                        ,Otros
De Organismos Internacionales                                                   ,Otros
De Otras Entidades P<cf>blicas                                                     ,Otros
Del Gobierno Central                                                            ,Otros
Del Sector Privado                                                              ,Otros
Dividendos                                                                      ,Otros
ENDEUDAMIENTO                                                                   ,Endeudamiento
Endeudamiento Externo                                                           ,Endeudamiento
Endeudamiento Interno                                                           ,Endeudamiento
Impuesto al Valor Agregado                                                      ,IVA
Impuestos a la Renta                                                            ,Impuesta a la Renta
Impuestos a los Actos Jur<d5>dicos                                                 ,Otros
Impuestos a Productos Espec<d5>ficos                                               ,Impuestos Productos Especificos
Impuestos al Comercio Exterior                                                  ,Otros Impuestos
Impuestos Varios                                                                ,Otros Impuestos
Intereses                                                                       ,Otros
Multas y Sanciones Pecuniarias                                                  ,Otros
Operaciones de Cambio                                                           ,Otros
Otras Rentas de la Propiedad                                                    ,Otros
Otros                                                                           ,Otros
Otros Activos Financieros                                                       ,Otros
Otros Ingresos Tributarios                                                      ,Otros
Participaci<d1>n de Utilidades                                                     ,Otros
RENTAS DE LA PROPIEDAD                                                          ,Otros
Sistemas de Pago de Impuestos                                                   ,Devolucion y Credito de Impuestos
TRANSFERENCIAS PARA GASTOS DE CAPITAL                                           ,Otros
VENTA DE ACTIVOS NO FINANCIEROS                                                 ,Otros
Venta de Bienes                                                                 ,Otros
Venta de Servicios                                                              ,Otros
Venta o Rescate de T<d5>tulos y Valores                                            ,Venta o Rescate de Titulos y Valores
