"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GGNLEND","TOT","PC_GDP","A","2000",-1.23047933640386,
"AUS","GGNLEND","TOT","PC_GDP","A","2001",-0.798601485788713,
"AUS","GGNLEND","TOT","PC_GDP","A","2002",0.720309556997757,
"AUS","GGNLEND","TOT","PC_GDP","A","2003",0.820027551251722,
"AUS","GGNLEND","TOT","PC_GDP","A","2004",0.973786348757044,
"AUS","GGNLEND","TOT","PC_GDP","A","2005",1.69254578852066,
"AUS","GGNLEND","TOT","PC_GDP","A","2006",1.64282192702358,
"AUS","GGNLEND","TOT","PC_GDP","A","2007",0.70815156791017,
"AUS","GGNLEND","TOT","PC_GDP","A","2008",-3.7537093638888,
"AUS","GGNLEND","TOT","PC_GDP","A","2009",-5.50005042033625,
"AUS","GGNLEND","TOT","PC_GDP","A","2010",-4.38468158043415,
"AUS","GGNLEND","TOT","PC_GDP","A","2011",-4.56360235168359,
"AUS","GGNLEND","TOT","PC_GDP","A","2012",-2.85934641647793,
"AUS","GGNLEND","TOT","PC_GDP","A","2013",-2.83423237346595,
"AUS","GGNLEND","TOT","PC_GDP","A","2014",-2.36313713300325,
"AUS","GGNLEND","TOT","PC_GDP","A","2015",-2.24143831902068,
"AUS","GGNLEND","TOT","PC_GDP","A","2016",-1.4409103653908,
"AUT","GGNLEND","TOT","PC_GDP","A","2000",-2.40466955871376,
"AUT","GGNLEND","TOT","PC_GDP","A","2001",-0.661575545058186,
"AUT","GGNLEND","TOT","PC_GDP","A","2002",-1.38117492289023,
"AUT","GGNLEND","TOT","PC_GDP","A","2003",-1.78642545239967,
"AUT","GGNLEND","TOT","PC_GDP","A","2004",-4.80498601475414,
"AUT","GGNLEND","TOT","PC_GDP","A","2005",-2.50835353635499,
"AUT","GGNLEND","TOT","PC_GDP","A","2006",-2.5354406589839,
"AUT","GGNLEND","TOT","PC_GDP","A","2007",-1.35460859868813,
"AUT","GGNLEND","TOT","PC_GDP","A","2008",-1.49526533239112,
"AUT","GGNLEND","TOT","PC_GDP","A","2009",-5.3297096742366,
"AUT","GGNLEND","TOT","PC_GDP","A","2010",-4.44127719733485,
"AUT","GGNLEND","TOT","PC_GDP","A","2011",-2.55356276972273,
"AUT","GGNLEND","TOT","PC_GDP","A","2012",-2.18905804256567,
"AUT","GGNLEND","TOT","PC_GDP","A","2013",-1.95007752148589,
