Periodo,From,To,Monto
2009,Tesoreria,Ciudadania,645882
2009,Tesoreria,Deuda,262901
2009,Tesoreria,Educación,5133015
2009,Tesoreria,Industria y Hacienda,1483077
2009,Tesoreria,Infraestructura,2077272
2009,Tesoreria,Interior y Gobierno,2980133
2009,Tesoreria,Inversion,14
2009,Tesoreria,Organismo Autonomo,622103
2009,Tesoreria,Otros,937790
2009,Tesoreria,Salud,1971006
2009,Tesoreria,Seguridad Social,7343698
2010,Tesoreria,Ciudadania,693869
2010,Tesoreria,Deuda,343526
2010,Tesoreria,Educación,5796197
2010,Tesoreria,Industria y Hacienda,1538670
2010,Tesoreria,Infraestructura,2472858
2010,Tesoreria,Interior y Gobierno,3298652
2010,Tesoreria,Inversion,12
2010,Tesoreria,Medio Ambiente,0
2010,Tesoreria,Organismo Autonomo,679432
2010,Tesoreria,Otros,1069189
2010,Tesoreria,Salud,2404695
2010,Tesoreria,Seguridad Social,7793003
2011,Tesoreria,Ciudadania,766937
2011,Tesoreria,Deuda,636921
2011,Tesoreria,Educación,6378156
2011,Tesoreria,Industria y Hacienda,1142205
2011,Tesoreria,Infraestructura,2507320
2011,Tesoreria,Interior y Gobierno,3707801
2011,Tesoreria,Inversion,1620104
2011,Tesoreria,Medio Ambiente,35244
2011,Tesoreria,Organismo Autonomo,705620
2011,Tesoreria,Organismos Internacionales,11
2011,Tesoreria,Otros,1173105
2011,Tesoreria,Salud,2893208
2011,Tesoreria,Seguridad Social,8925231
2012,Tesoreria,Ciudadania,804840
2012,Tesoreria,Deuda,707852
2012,Tesoreria,Educación,6874366
2012,Tesoreria,Industria y Hacienda,1112695
2012,Tesoreria,Infraestructura,2362131
2012,Tesoreria,Interior y Gobierno,3734809
2012,Tesoreria,Inversion,10822
2012,Tesoreria,Medio Ambiente,36494
2012,Tesoreria,Organismo Autonomo,720841
2012,Tesoreria,Organismos Internacionales,1111
2012,Tesoreria,Otros,1356911
2012,Tesoreria,Salud,3043930
2012,Tesoreria,Seguridad Social,9125874
2013,Tesoreria,Ciudadania,839784
2013,Tesoreria,Deuda,750439
2013,Tesoreria,Educación,7640233
2013,Tesoreria,Industria y Hacienda,1140957
2013,Tesoreria,Infraestructura,2578579
2013,Tesoreria,Interior y Gobierno,3930275
2013,Tesoreria,Inversion,9069
2013,Tesoreria,Medio Ambiente,41069
2013,Tesoreria,Organismo Autonomo,741224
2013,Tesoreria,Organismos Internacionales,9132
2013,Tesoreria,Otros,4013304
2013,Tesoreria,Salud,3184646
2013,Tesoreria,Seguridad Social,9117573
2014,Tesoreria,Ciudadania,843228
2014,Tesoreria,Deuda,852018
2014,Tesoreria,Educación,7587186
2014,Tesoreria,Industria y Hacienda,1106374
